Threads TPS CPU
1 37890885.563958 0.999913
2 75548569.180617 1.999759
3 110253259.013290 2.999334
4 147997818.617304 3.998413
5 175172257.826970 4.998205
6 206489743.782396 5.997345
7 232802838.401573 6.995954
8 264989669.549260 7.994985
9 288535506.097551 8.992389
10 318042512.839557 9.991429
11 344496727.000681 10.987600
12 374638330.086618 11.986382
13 391103438.608723 12.984872
14 433563994.450176 13.982109
15 460487035.114136 14.978308
16 491562613.123692 15.976521
17 520114328.635767 16.972937
18 549987883.194861 17.966569
19 574259486.751591 18.961678
20 594057100.286257 19.952537
21 629886463.989963 20.947860
22 652110505.391877 21.933470
23 670676289.151263 22.907142
24 701623395.019257 23.930512
25 724726064.242259 24.924519
26 722225750.619051 25.919532
27 725268384.255858 26.903331
28 763231651.144489 27.926887
29 762469547.144147 28.904564
30 771321918.017837 29.897986
31 764195328.717507 30.871228
32 789223234.763214 31.886959
33 789968905.622986 32.851427
34 788395033.235475 33.805957
35 818668596.117994 34.805290
36 807853260.035679 35.824659
37 832024379.362946 36.727544
38 814498617.839797 37.777978
39 805437001.166892 38.735402
40 817720555.048548 39.656510
41 813800244.987993 40.660811
42 823783409.897715 41.552039
43 867854181.142211 42.479474
44 865763932.137882 43.525505
45 878094959.170592 44.267282
46 888707096.695717 45.329827
47 890893444.351293 46.096152
48 896353163.267810 47.100834
