Threads TPS CPU
1 8185700.925753 0.996576
2 3001783.773636 1.979946
3 3758432.558625 2.969871
4 3923058.072972 3.909590
5 4466148.359702 4.885851
6 4993506.456789 5.819030
7 5315367.159032 6.744738
8 5971882.209920 7.743050
9 6157187.692267 8.625661
10 6305498.795766 9.513604
11 6631371.669562 10.454803
12 7151144.092228 11.383711
13 7657847.209723 12.336935
14 8009446.475325 13.259516
15 8083115.668053 14.189765
16 8544812.794536 15.117819
17 8815993.731736 16.040103
18 8979788.168007 16.974870
19 9380697.475422 17.867805
20 9351534.141433 18.806056
21 9642056.492034 19.745844
22 9825196.694125 20.659672
23 10086680.073539 21.539265
24 10066819.182910 22.452691
25 9150160.833250 22.585101
26 8538663.210221 22.959682
27 7571204.900126 23.433979
28 7515678.160592 23.839020
29 7804379.985351 23.792970
30 6189289.687748 25.437531
31 6698995.456932 25.143487
32 5816039.280743 26.865741
33 6990716.200943 25.389043
34 5819485.588972 27.781487
35 5680196.322354 28.797102
36 5706756.003384 29.819792
37 5848214.233777 29.266755
38 5645944.502191 30.743670
39 5606367.087339 32.386572
40 5719872.860690 32.392057
41 5772296.668185 33.310046
42 5438610.902081 35.161305
43 5679577.257304 36.095643
44 5392842.777890 37.514890
45 5538699.127291 38.556810
46 5619610.679911 39.257368
47 5789595.105534 40.302964
48 5785118.150554 40.911305
