Threads TPS CPU
1 2950747.419127 0.998976
2 1519430.495569 1.974415
3 1952375.182042 2.951555
4 2273945.398308 3.930751
5 2399252.893079 4.890582
6 3123681.173604 5.894201
7 3489621.580772 6.849895
8 3833761.837646 7.842600
9 4251480.944104 8.769482
10 4443489.251392 9.682988
11 4706800.760530 10.638153
12 5069934.084670 11.592979
13 5337977.495123 12.549430
14 5601265.703438 13.501223
15 5787584.616167 14.445101
16 6257411.910476 15.415106
17 6571788.792050 16.416212
18 6661426.827744 17.330708
19 6935352.854851 18.294559
20 7105897.353564 19.216321
21 7223371.539346 20.189918
22 7440611.906550 21.128587
23 7549052.655218 22.073133
24 7601311.465189 22.982291
25 6728855.320537 23.233810
26 6523228.850671 23.396991
27 6236861.640103 23.721108
28 5872958.056443 24.169592
29 5524818.556028 24.655401
30 5071527.597343 25.580833
31 5251235.320078 25.836317
32 5261934.623396 26.445250
33 5175505.504591 26.986217
34 5083395.479561 27.596962
35 5031255.735774 27.980178
36 4611584.404748 29.820335
37 4671120.400564 30.275306
38 4717432.988222 31.397876
39 4898785.139816 31.438771
40 4565887.419924 33.318071
41 4605156.664859 34.411192
42 4616607.700336 35.357740
43 4456106.675031 36.892619
44 4383002.046788 37.940412
45 4452617.170756 38.914769
46 4483018.973026 39.788370
47 4474811.656885 40.562337
48 4578432.246937 41.369563
