Threads TPS CPU
1 794751036.841048 0.998815
2 803531226.161756 0.998717
3 813415027.186424 0.998751
4 801191748.130421 0.998779
5 795251853.776960 0.998711
6 821271274.151322 0.999556
7 795237508.174908 0.998690
8 794307656.863728 0.998990
9 804662156.045825 0.998902
10 797654509.286829 0.999026
11 798516311.862169 0.998884
12 801883324.078106 0.998645
13 804646971.073173 0.998636
14 798520675.565144 0.998888
15 791951953.080279 0.998950
16 798153164.028994 0.998675
17 803831708.177592 0.998610
18 802221419.407913 0.998834
19 801854251.793482 0.999114
20 801771002.015150 0.998752
21 795562039.831345 0.998607
22 801484505.789868 0.998893
23 798368317.416409 0.998450
24 801013453.010365 0.999047
25 816919649.503366 0.999030
26 810412011.151861 0.999051
27 810526615.966501 0.998950
28 817547317.140513 0.998803
29 810629732.435149 0.999073
30 824106856.948549 0.998700
31 824229703.883201 0.998849
32 820327806.694100 0.998664
33 814328577.939884 0.998873
34 795400446.298466 0.998654
35 798498122.108477 0.998614
36 807188726.373909 0.998562
37 793162424.611246 0.999014
38 793381768.371523 0.998557
39 795180860.261603 0.998867
40 794823168.063406 0.998657
41 790652963.095883 0.999014
42 791970665.712108 0.998487
43 801591065.581223 0.998784
44 804857122.256921 0.998891
45 797985472.857714 0.998709
46 791307149.097019 0.998624
47 800373912.042179 0.998987
48 800997468.064089 0.999027
