Threads TPS CPU
2 78722.062657 1.974006
3 148491.266882 2.938202
4 193395.524029 3.901302
5 211662.355948 4.877063
6 213178.818685 5.851756
7 213987.033518 6.825541
8 209847.554159 7.799654
9 208494.243861 8.766540
10 210635.655500 9.739250
11 208376.580975 10.711127
12 206522.590388 11.686499
13 216764.062891 12.642694
14 209645.644247 13.623327
15 209074.606171 14.561784
16 200386.282434 15.559564
17 208749.471000 16.506601
18 203390.184536 17.504727
19 199689.053212 18.438285
20 195661.089078 19.443332
21 191579.441312 20.392518
22 194451.762505 21.349037
23 196877.089958 22.359161
24 189502.422215 23.369033
25 188106.691432 24.399287
26 189166.318602 25.328724
27 193017.201505 26.319399
28 193482.634288 27.292617
29 173078.591055 28.358761
30 182946.905174 29.387310
31 175237.822656 30.409592
32 170757.822030 31.443022
33 175532.586101 32.425524
34 171655.129570 33.473096
35 169828.202934 34.538656
36 175350.803203 35.489514
37 158966.948152 36.497292
38 150125.330826 37.513644
39 157336.210092 38.444963
40 152903.695238 39.476636
41 152339.134857 40.392949
42 147869.297049 41.463348
43 149479.342308 42.351890
44 148903.196547 43.405186
45 143401.274076 44.350672
46 141135.030613 45.364494
47 135955.674008 46.314574
48 134209.714486 47.261248
