Threads TPS CPU
1 105588.341432 0.999996
2 160211.978155 1.985867
3 234801.374577 2.977020
4 315360.687474 3.965574
5 366297.847412 4.959462
6 433331.250109 5.947607
7 496691.269233 6.937430
8 545410.248858 7.939539
9 622342.485108 8.921815
10 695158.461344 9.924478
11 764840.685640 10.889885
12 829422.505329 11.913081
13 899359.704897 12.875801
14 918502.911031 13.862262
15 895906.732478 14.859289
16 1047157.621655 15.805627
17 934833.290327 16.826204
18 1076754.377451 17.801843
19 1160349.352773 18.743219
20 1112722.957563 19.757031
21 1247810.061893 20.709868
22 1152711.861980 21.691756
23 1312128.944217 22.631052
24 1374989.809251 23.552198
25 1492686.421501 24.484641
26 1464827.034171 25.360967
27 1390522.167641 26.487749
28 1619327.997675 27.503920
29 1686593.566382 28.451813
30 1776017.497499 29.487896
31 1732653.632119 30.403302
32 1788433.195935 31.155670
33 1847770.454985 32.446973
34 1870852.801724 33.373957
35 1930079.673881 34.365547
36 1883254.314833 35.312367
37 1937880.512334 36.203114
38 1938849.887605 37.156426
39 1966741.886785 38.201525
40 1987799.818271 39.330455
41 2000330.167095 40.097672
42 2032194.430129 41.084860
43 1961636.726139 42.126043
44 2031772.621530 42.974518
45 2035943.802125 43.594543
46 2044305.943440 44.615523
47 2045512.132362 45.615387
48 2052402.866979 46.413686
