Threads TPS CPU
1 150922517.005351 0.998945
2 173562329.826758 1.263199
3 187642030.304521 1.410513
4 196292169.858931 1.519273
5 202490999.934101 1.606975
6 203345442.815081 1.715140
7 206762012.092886 1.786057
8 209313187.083692 1.853761
9 210341038.743699 1.941779
10 216041905.226252 1.989310
11 212220885.272511 2.112079
12 217390606.539084 2.126551
13 215534229.003459 2.222373
14 220209428.286161 2.272098
15 214986862.585423 2.406200
16 216474657.702652 2.406904
17 213350544.031260 2.625169
18 215049372.599822 2.727609
19 216856542.532978 2.725250
20 217648023.353504 2.786965
21 219445722.957438 2.819571
22 217684832.938162 3.013061
23 217808416.877575 3.057351
24 218127858.935037 3.135047
25 220714573.221602 3.106431
26 218955936.478422 3.090949
27 219688611.543935 3.139057
28 216784704.440995 3.253061
29 214755618.273797 3.407518
30 215309527.828756 3.365894
31 217485346.924838 3.451160
32 216028828.983143 3.482212
33 217877634.635324 3.731639
34 217308144.876382 4.006756
35 213220706.960375 3.994939
36 208688660.969590 4.235497
37 214726844.902229 4.138676
38 215465736.517662 4.132619
39 216098426.055435 4.293693
40 211403043.841051 4.484036
41 214265900.938662 4.359154
42 210700389.284551 4.723384
43 211745989.762771 4.712587
44 211010886.351223 4.784939
45 206225661.024931 5.069960
46 209860983.863056 4.782692
47 213026415.212304 5.100294
48 208029765.489524 5.296929
