Threads TPS CPU
1 8996425.383723 0.997243
2 2793582.681244 1.754318
3 2278948.074295 2.626321
4 2132563.243613 3.546929
5 1841290.807137 4.450046
6 1733167.680096 5.310223
7 1722252.384356 6.188618
8 1684229.172501 7.092383
9 1982805.314888 7.971945
10 1816466.784982 8.827734
11 1717631.795143 9.688424
12 1776770.714260 10.561860
13 1749311.443855 11.379592
14 1770862.100612 12.271639
15 1729862.379752 13.150724
16 1845619.418791 13.937819
17 1786368.032452 14.843731
18 1715706.183845 15.709226
19 1665817.516400 16.487664
20 1757860.799960 17.466299
21 1739700.621519 18.357673
22 1670668.857331 19.214993
23 1655381.828104 20.031507
24 1645070.359745 20.895877
25 1502152.358469 21.392997
26 1445111.525822 21.711546
27 1388745.852924 22.158077
28 1300543.370136 22.641512
29 1181094.520018 23.262361
30 1099902.148605 23.957607
31 1092792.871626 24.358638
32 1075455.989865 24.780616
33 1022580.057549 25.414021
34 1012140.316418 25.944292
35 937738.680076 26.781921
36 967777.376419 27.203970
37 957896.828838 27.748167
38 935126.995299 28.412545
39 967159.444355 28.649251
40 943627.740082 29.535515
41 925224.261294 30.242458
42 924329.495884 30.904384
43 881531.992028 31.762727
44 791335.707076 33.104749
45 690705.783282 34.716356
46 695105.094607 34.955073
47 699858.081064 35.232999
48 687133.393490 36.263327
