Threads TPS CPU
1 152958329.241855 0.998185
2 154579122.086017 0.997330
3 154503595.689655 0.997976
4 151760607.574522 0.997870
5 152318243.202775 0.997023
6 151806812.152566 0.997427
7 157891060.822267 0.998026
8 155138980.583686 0.997868
9 156754252.297708 0.998593
10 153869199.594279 0.997672
11 154635841.189375 0.997292
12 152925552.632349 0.998362
13 151634438.576774 0.997042
14 157537040.653114 0.998150
15 158187246.436588 0.998735
16 156189246.601896 0.998067
17 156171870.804990 0.998343
18 154932789.296095 0.998060
19 155269310.302358 0.997562
20 154195753.982010 0.998278
21 155752848.690724 0.998372
22 159468471.902246 0.997745
23 157530790.462269 0.997308
24 154958620.309680 0.997864
25 159764182.152862 0.997242
26 156671131.149112 0.998443
27 153825587.233920 0.998146
28 153736977.671507 0.998723
29 154470757.446396 0.998527
30 152539932.976591 0.998101
31 158391510.762654 0.998056
32 152835251.431439 0.998142
33 154633804.247351 0.997669
34 151878770.366990 0.998648
35 156316113.634094 0.997726
36 156731094.432902 0.998063
37 153918452.104854 0.997630
38 153315216.270038 0.998271
39 153568318.135916 0.998019
40 155537213.045847 0.998139
41 156768799.602930 0.998273
42 153864143.092132 0.998034
43 155794354.531976 0.998248
44 152493683.043390 0.997794
45 157382494.053953 0.998298
46 159060656.504196 0.997962
47 155105218.304369 0.998446
48 155500082.981370 0.998273
