Threads TPS CPU
2 2922064.205928 1.479816
3 5782472.679490 2.568463
4 8229530.118805 3.609159
5 10862981.321275 4.638353
6 12868991.980769 5.655263
7 15049732.307606 6.638406
8 17051236.137279 7.666940
9 19178240.034598 8.624758
10 21016699.868672 9.672700
11 23161538.183711 10.605582
12 24741885.705794 11.541623
13 26482528.690715 12.471106
14 28515171.451468 13.391817
15 29899217.219855 14.319115
16 30905421.592902 15.226991
17 32057991.701188 16.158288
18 32568527.995243 17.006668
19 34056181.414713 17.976228
20 34167459.191510 18.902726
21 34847195.601326 19.818005
22 36388341.358099 20.755736
23 35056804.618471 21.568945
24 38195435.287686 22.575000
25 39275574.350008 23.482459
26 40825551.282056 24.336953
27 41712460.645273 25.382234
28 40953004.510589 26.239966
29 42078208.394155 27.338583
30 41342502.066156 28.200352
31 42486723.895395 29.133998
32 42385068.588971 30.239120
33 42550608.294150 31.254105
34 42637079.200368 32.083627
35 45557116.519437 33.595227
36 44251088.403851 34.438058
37 44471284.407048 35.513635
38 44225298.582939 36.445844
39 44455270.845805 37.434957
40 43466322.159863 38.347002
41 44272987.778996 39.359547
42 43602679.329974 40.335159
43 41222555.280409 41.140953
44 41597248.446180 42.100954
45 41602813.286066 43.002227
46 38762777.028162 43.865558
47 39995398.029802 44.808720
48 37360475.561464 45.782849
