Threads TPS CPU
1 456307.765430 0.999707
2 814555.608053 1.947823
3 1086482.968573 2.846938
4 1352761.280368 3.672203
5 1548624.117836 4.472843
6 1787949.081222 5.287776
7 1961967.714562 5.916436
8 2281477.671108 6.627705
9 2548878.066381 7.392612
10 2789407.143655 7.882230
11 3258735.309776 8.546314
12 3712520.750092 9.106029
13 3922727.912905 9.563133
14 4260643.097735 10.144851
15 4600457.317297 10.958455
16 4723392.053927 11.550616
17 5033453.766647 12.710235
18 5207643.356324 13.591135
19 5304980.472305 14.242686
20 5422443.339361 15.137599
21 5480031.942231 16.058116
22 5580052.502053 17.206437
23 5584000.451055 18.005183
24 5698351.047696 18.527434
25 5754228.555578 19.380357
26 5635590.902838 20.114009
27 5865708.004929 20.759900
28 5947444.321782 21.538852
29 5864501.612939 22.023412
30 5842331.503202 22.469190
31 5984016.030898 23.173118
32 6116885.521267 23.581574
33 5956450.933874 24.365326
34 5980534.097281 24.602516
35 6165822.298777 25.662070
36 5931201.033323 25.854637
37 6084567.797957 26.502345
38 6076513.376326 27.195614
39 5966884.987429 27.893191
40 6149387.125953 28.442722
41 6286013.942491 28.865854
42 6230746.513796 28.878277
43 6397197.549612 29.335269
44 6336954.723946 29.675974
45 6276188.598206 30.436162
46 6072850.693212 30.502087
47 5905039.486080 30.714013
48 5997265.926361 31.577177
