Threads TPS CPU
1 586228.225498 0.999708
2 582180.007022 0.999653
3 584930.356819 0.999674
4 583115.893869 0.999660
5 584805.228357 0.999690
6 582706.908650 0.999758
7 585854.320297 0.999588
8 584518.471609 0.999772
9 582180.538631 0.999712
10 585581.727600 0.999754
11 585233.322919 0.999676
12 585096.125885 0.999728
13 584348.661330 0.999711
14 586066.772372 0.999663
15 585972.526557 0.999674
16 585664.625361 0.999666
17 584729.168106 0.999732
18 584350.795274 0.999715
19 583972.736299 0.999639
20 584403.378918 0.999747
21 588732.179161 0.999766
22 589819.010385 0.999587
23 587652.434952 0.999718
24 584072.677055 0.999640
25 585887.110392 0.999644
26 587558.008466 0.999787
27 585314.308505 0.999756
28 585425.770634 0.999717
29 584507.720561 0.999696
30 586534.578229 0.999598
31 586585.683609 0.999743
32 583704.463123 0.999696
33 585293.075639 0.999720
34 584440.711266 0.999639
35 584232.113053 0.999683
36 585388.379524 0.999711
37 582330.599117 0.999798
38 588272.159291 0.999676
39 588764.357714 0.999647
40 587494.248196 0.999679
41 587713.309115 0.999649
42 586672.560423 0.999718
43 585958.297214 0.999650
44 586267.644513 0.999718
45 585006.586844 0.999747
46 584830.717492 0.999733
47 585053.760453 0.999713
48 587410.755608 0.999652
