Threads TPS CPU
1 505527035.405308 0.989178
2 797544020.157355 1.980002
3 985530997.061710 2.947876
4 1260290496.959549 3.912598
5 1520288246.651565 4.867831
6 1768105399.288717 5.817265
7 1992797460.606665 6.747984
8 2448888204.755041 7.721253
9 2953667505.648889 8.549863
10 3343626927.660632 9.519746
11 3512178478.875501 10.410356
12 3926462958.028915 11.153483
13 4583401538.713374 12.011365
14 4473029231.246026 12.764740
15 5170630816.959669 13.589024
16 5564542733.700857 14.286104
17 5903760273.597118 14.760036
18 6227314781.866059 15.828976
19 6916175947.516105 16.501702
20 7032702064.600392 17.237621
21 7315212506.923327 17.809928
22 7197499383.071481 18.408283
23 6211869107.043815 18.483904
24 7478033277.248084 19.383585
25 8000914390.216024 19.940812
26 6447304796.334246 20.331978
27 7671106776.326964 21.115192
28 7452199463.441641 21.630565
29 7334374115.945978 22.260484
30 7613868116.927260 22.752422
31 6898624709.888194 22.961770
32 7653744594.542880 23.758012
33 6818159681.299736 23.410457
34 7155452199.023792 24.440980
35 6466781529.024302 23.937972
36 6782912873.484139 25.153852
37 5987153279.677036 25.050540
38 6820584524.093716 25.776209
39 4875449673.170750 24.858747
40 5439301282.898060 26.467025
41 6511718768.168859 26.884791
42 4852400378.487229 27.305939
43 5564896632.045060 25.979451
44 4843637017.841883 27.737098
45 5242169509.295489 28.782423
46 4517178183.319996 29.089958
47 5159007996.462395 29.527563
48 4643049023.964766 29.008970
