Threads TPS CPU
1 11393355.265000 0.996759
2 3650111.948933 1.829919
3 3671526.754048 2.670205
4 3961930.601239 3.453847
5 3747862.446809 4.317742
6 3647573.529872 5.209694
7 4001365.494556 5.899813
8 4088093.748166 6.691993
9 3919233.993554 7.606461
10 4163595.766955 8.228860
11 4116650.345128 9.028053
12 3693252.580542 10.102888
13 3630070.696664 10.936981
14 3793437.775346 11.482445
15 4016085.915782 12.316720
16 3849506.512513 13.354224
17 4040500.126179 13.965992
18 4199538.302759 14.539066
19 4218527.943469 15.478076
20 4472428.214812 16.170386
21 4175614.909999 16.835286
22 4001192.126614 17.794909
23 4030209.993516 18.614988
24 4222471.146950 19.021828
25 3953314.518192 19.963301
26 4257772.091557 20.235451
27 4262923.478818 21.054522
28 4139645.867489 21.911608
29 4103076.551275 22.852234
30 4373965.557146 22.844750
31 4133723.352100 24.279077
32 4305126.717100 24.822822
33 4278854.147310 25.892824
34 4547145.552115 26.207564
35 4381203.784559 26.028155
36 4369854.223536 27.196418
37 4372710.612700 27.852463
38 4254316.475078 28.590559
39 4399297.872060 29.216724
40 4228445.769519 30.199058
41 4331771.626525 30.476503
42 4270066.322670 30.848226
43 4153801.749249 32.414373
44 4264753.457649 32.874870
45 4159930.303339 34.128592
46 4210292.818648 34.106908
47 4181025.752550 34.684251
48 4125924.877635 35.380115
