Threads TPS CPU
1 514766064.561960 0.990989
2 484477178.183439 0.989700
3 538673693.023714 0.989236
4 507737189.428041 0.990615
5 511343236.590845 0.991847
6 503150983.031233 0.991780
7 512760033.431954 0.993124
8 553695183.682445 0.990166
9 566797029.983563 0.990801
10 537562362.033660 0.992235
11 570931278.633223 0.989984
12 617476707.896469 0.987963
13 581767409.389726 0.988846
14 503144111.614615 0.993288
15 516734254.276806 0.990527
16 505026820.531505 0.991160
17 524816511.027332 0.991006
18 517805289.676923 0.991231
19 543610153.861088 0.989119
20 554227169.799370 0.987972
21 504662905.005499 0.990397
22 506386437.235029 0.990981
23 526412166.437991 0.989607
24 516463567.368799 0.990018
25 526630976.133084 0.989721
26 534316679.572959 0.990402
27 528727861.881176 0.992030
28 568714988.483521 0.989418
29 617827955.214534 0.988525
30 517458303.949094 0.990376
31 542661109.300087 0.989177
32 552467219.949433 0.992668
33 503043051.142950 0.991536
34 539845411.410404 0.991596
35 501621132.008409 0.993191
36 567890728.088646 0.989751
37 585192049.580814 0.989422
38 580654821.031815 0.990213
39 583567489.788611 0.988643
40 530112069.478002 0.990356
41 528331194.220962 0.991460
42 543592423.719422 0.993901
43 511498112.206610 0.990557
44 504133716.426945 0.993455
45 512090081.034598 0.990218
46 512617718.997613 0.991404
47 491597371.920450 0.993051
48 585539352.845178 0.988591
