Threads TPS CPU
2 181752.214026 1.992812
3 311487.665088 2.976103
4 390860.355953 3.953940
5 391735.842728 4.933292
6 399136.687302 5.916224
7 396325.978910 6.891075
8 401949.656810 7.885561
9 390307.532086 8.848884
10 398926.011392 9.834055
11 387867.184773 10.815999
12 384138.535722 11.787670
13 383421.083242 12.732416
14 388563.035610 13.709646
15 393987.009657 14.706642
16 364793.987611 15.632051
17 381404.636040 16.607647
18 379092.373249 17.609970
19 389160.763625 18.556882
20 370194.151099 19.555694
21 359824.189901 20.545519
22 365063.129911 21.537701
23 381332.533171 22.550281
24 364266.113516 23.475810
25 362158.034539 24.501489
26 340087.933136 25.513633
27 344328.991890 26.468730
28 348155.290489 27.497066
29 318953.907732 28.506842
30 297331.129763 29.665462
31 302110.605109 30.635376
32 326312.249415 31.655119
33 327351.315396 32.623756
34 300687.231944 33.667081
35 291748.243730 34.648997
36 307626.724041 35.636731
37 292612.853188 36.620843
38 291360.912222 37.625269
39 296104.311034 38.600634
40 291212.269355 39.598404
41 275393.671811 40.607723
42 272160.896623 41.567189
43 283151.100824 42.549072
44 269817.696661 43.568882
45 261762.862283 44.510074
46 264890.987591 45.429395
47 257552.501756 46.456946
48 255930.665312 47.452446
