Threads TPS CPU
1 249028.521948 0.998960
2 241172.899608 0.997767
3 251044.434506 0.999874
4 249300.977865 0.998628
5 252331.179627 0.999231
6 250886.525458 0.996378
7 250176.284932 0.999276
8 252663.524736 0.999104
9 246238.963658 0.997620
10 252086.102529 0.999701
11 256379.171610 0.999146
12 256706.267887 0.998954
13 254279.986240 0.996778
14 258434.661257 0.999773
15 258990.388867 0.998963
16 257098.111578 0.999010
17 258681.537160 0.996293
18 225659.554522 0.999349
19 257291.361516 0.999761
20 253686.701997 0.995902
21 250543.500436 0.999311
22 251418.719920 0.998491
23 245556.824656 0.999065
24 251086.036783 0.997170
25 251285.324434 0.999398
26 250532.560643 0.999267
27 257175.376707 0.997840
28 250007.232352 0.998600
29 252527.621110 0.998566
30 249162.990326 0.999500
31 239290.224174 0.996815
32 251396.597886 0.999840
33 246775.525226 0.999793
34 248483.805068 0.999615
35 252663.068745 0.997658
36 258396.978970 0.999627
37 255667.322758 0.999294
38 235748.895095 0.999575
39 253481.661145 0.999442
40 249171.504747 0.999534
41 250868.812455 0.999175
42 248593.493527 0.998636
43 251106.662936 0.998687
44 251794.575913 0.998545
45 253622.453268 0.998548
46 253923.019972 0.999731
47 243252.607060 0.999421
48 239907.847968 0.999388
