Threads TPS CPU
1 8277861.702117 0.999610
2 15168731.233281 1.888913
3 20482077.462441 2.690651
4 25063377.726002 3.422288
5 27295946.677239 4.175099
6 28952712.196033 4.762343
7 31717141.614154 5.500740
8 33868450.936053 6.174044
9 36084164.355340 6.804682
10 37662653.781234 7.370863
11 39523796.007289 7.952514
12 41430255.112457 8.584557
13 43413427.943261 9.259940
14 43902177.623771 9.810917
15 44252558.598116 10.317852
16 45337264.021620 11.145290
17 44870334.644942 11.569912
18 46380875.566398 12.394034
19 45434633.925001 12.983429
20 46269077.137974 13.590164
21 47074224.818518 14.273766
22 46351548.881622 14.763737
23 46554317.807226 15.264341
24 46899282.302100 15.802522
25 48184318.191305 16.372479
26 47676075.854470 16.718061
27 48204766.532261 17.125416
28 48913538.378089 17.628750
29 48077715.400290 17.091723
30 49406508.979620 17.498215
31 50942271.819984 18.164687
32 49141434.283139 18.689740
33 49214868.463539 18.768922
34 49009017.147302 18.838224
35 50250067.818020 19.344726
36 50639275.476525 20.396678
37 50924079.006219 20.975402
38 51077660.833926 19.864739
39 48263608.082518 20.606096
40 51227009.528687 20.786374
41 49906126.676862 20.699400
42 51557649.026470 21.489218
43 51026917.386842 22.278699
44 51080571.755433 21.941649
45 51503038.020746 23.042521
46 47802514.243222 22.769171
47 50881673.125838 23.232481
48 50322894.745434 23.968956
