Threads TPS CPU
1 4281800.575653 0.998621
2 2109772.976747 1.946445
3 2296816.482691 2.836332
4 2698870.353013 3.802520
5 3253338.704059 4.713071
6 3832501.816070 5.645579
7 4339315.988632 6.541223
8 4964744.599422 7.386562
9 4749084.505462 8.236073
10 5865644.040285 9.143222
11 6181129.550018 9.927125
12 6267240.958694 10.919181
13 6717129.164272 11.635691
14 6743031.434658 12.452211
15 7201353.696026 13.441691
16 7492542.607530 13.970485
17 7503317.474735 14.930344
18 8215959.692960 15.757808
19 8355055.895885 16.715401
20 8407786.919619 17.470311
21 8476750.280565 18.509353
22 8702364.961446 19.279833
23 8749548.349654 19.953573
24 8834763.181791 20.580941
25 7981712.470497 21.097554
26 7774292.488393 21.634700
27 7494682.971546 21.852396
28 7072080.530078 22.555498
29 6443775.909967 23.194495
30 6070365.898776 23.781301
31 6664087.943039 23.527691
32 5481149.201066 25.260035
33 6329784.274469 24.172095
34 5541405.276489 26.013296
35 5164045.457683 27.549508
36 5113618.712560 28.115812
37 5105496.086324 29.003444
38 5137403.944238 29.754144
39 5241506.220752 29.848554
40 5435663.559412 30.172804
41 5224032.292101 31.749352
42 5231140.363921 32.187009
43 5324341.979210 32.792269
44 5305460.134827 34.124837
45 5129003.198335 35.279043
46 5098941.192560 36.558455
47 5456745.437825 35.806024
48 5218075.442607 37.596865
