Threads TPS CPU
1 13692037.911665 0.998756
2 13628531.191684 0.999029
3 13573216.474466 0.998844
4 13684917.282636 0.999061
5 13867060.203207 0.998631
6 13652231.973067 0.999539
7 13768540.241055 0.998966
8 13658610.603514 0.999184
9 13616145.335737 0.998942
10 13794143.582341 0.999167
11 13694214.082823 0.999117
12 13698643.795626 0.999029
13 13847421.472486 0.999088
14 13917020.025186 0.998880
15 13711322.671406 0.998929
16 13621412.434585 0.998918
17 13705422.994808 0.998908
18 13617625.665334 0.998640
19 13623359.503221 0.999060
20 13611042.787153 0.998770
21 13916844.987616 0.999077
22 13658889.043859 0.999002
23 13746722.081933 0.998825
24 13797445.909777 0.998788
25 13663259.525781 0.999115
26 13884861.767172 0.999074
27 13693396.267592 0.999264
28 13680417.135259 0.998938
29 13639109.581818 0.998988
30 13759900.520981 0.998961
31 14018261.803721 0.998789
32 13700783.352060 0.999184
33 13937872.967446 0.999125
34 13652322.834744 0.998933
35 13775948.153879 0.999297
36 13795816.316569 0.998878
37 14064761.394618 0.999152
38 13835490.335205 0.999050
39 13633978.657570 0.999023
40 13970530.769185 0.998537
41 13619667.643732 0.998994
42 13730223.514956 0.999070
43 13730191.702741 0.998862
44 13783243.644025 0.998788
45 13646913.081887 0.999152
46 13717372.784950 0.998752
47 13709764.105158 0.998817
48 13736835.170034 0.998936
